year,num_colonies
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,2
1483,2
1484,2
1485,2
1486,2
1487,2
1488,2
1489,2
1490,2
1491,2
1492,2
1493,2
1494,2
1495,3
1496,3
1497,3
1498,3
1499,3
1500,3
1501,3
1502,3
1503,3
1504,3
1505,3
1506,3
1507,3
1508,3
1509,4
1510,4
1511,6
1512,6
1513,6
1514,6
1515,6
1516,6
1517,6
1518,6
1519,7
1520,7
1521,8
1522,9
1523,9
1524,14
1525,15
1526,15
1527,15
1528,16
1529,16
1530,16
1531,16
1532,16
1533,18
1534,18
1535,19
1536,19
1537,20
1538,20
1539,20
1540,20
1541,21
1542,21
1543,21
1544,21
1545,21
1546,21
1547,21
1548,21
1549,21
1550,21
1551,21
1552,21
1553,21
1554,21
1555,21
1556,22
1557,22
1558,22
1559,23
1560,23
1561,23
1562,23
1563,23
1564,23
1565,24
1566,24
1567,24
1568,24
1569,24
1570,24
1571,24
1572,24
1573,24
1574,24
1575,24
1576,25
1577,25
1578,25
1579,25
1580,27
1581,27
1582,27
1583,27
1584,27
1585,27
1586,27
1587,27
1588,27
1589,27
1590,27
1591,27
1592,28
1593,28
1594,28
1595,28
1596,28
1597,28
1598,28
1599,28
1600,28
1601,28
1602,28
1603,28
1604,28
1605,28
1606,28
1607,29
1608,30
1609,30
1610,30
1611,30
1612,30
1613,30
1614,30
1615,30
1616,30
1617,30
1618,30
1619,31
1620,31
1621,31
1622,31
1623,33
1624,33
1625,34
1626,34
1627,35
1628,35
1629,35
1630,35
1631,35
1632,37
1633,37
1634,37
1635,37
1636,37
1637,37
1638,37
1639,37
1640,37
1641,37
1642,37
1643,37
1644,37
1645,37
1646,37
1647,37
1648,37
1649,37
1650,40
1651,40
1652,41
1653,41
1654,41
1655,42
1656,41
1657,40
1658,40
1659,40
1660,40
1661,40
1662,40
1663,40
1664,40
1665,41
1666,41
1667,42
1668,42
1669,42
1670,42
1671,42
1672,42
1673,42
1674,42
1675,42
1676,42
1677,42
1678,42
1679,42
1680,43
1681,43
1682,43
1683,43
1684,43
1685,43
1686,43
1687,43
1688,43
1689,43
1690,43
1691,43
1692,43
1693,44
1694,44
1695,44
1696,44
1697,44
1698,44
1699,44
1700,44
1701,44
1702,44
1703,44
1704,44
1705,44
1706,44
1707,44
1708,44
1709,44
1710,44
1711,44
1712,44
1713,44
1714,44
1715,45
1716,45
1717,45
1718,45
1719,45
1720,45
1721,45
1722,45
1723,45
1724,45
1725,45
1726,45
1727,45
1728,45
1729,45
1730,45
1731,45
1732,45
1733,45
1734,45
1735,45
1736,45
1737,45
1738,45
1739,45
1740,45
1741,45
1742,45
1743,45
1744,45
1745,45
1746,45
1747,45
1748,45
1749,45
1750,45
1751,45
1752,45
1753,45
1754,45
1755,45
1756,46
1757,46
1758,46
1759,46
1760,46
1761,46
1762,48
1763,48
1764,46
1765,46
1766,46
1767,46
1768,46
1769,46
1770,46
1771,46
1772,46
1773,46
1774,46
1775,46
1776,46
1777,46
1778,47
1779,46
1780,46
1781,46
1782,46
1783,47
1784,46
1785,46
1786,46
1787,46
1788,46
1789,46
1790,46
1791,46
1792,46
1793,46
1794,46
1795,45
1796,45
1797,46
1798,47
1799,47
1800,47
1801,47
1802,47
1803,47
1804,47
1805,47
1806,47
1807,46
1808,46
1809,46
1810,47
1811,46
1812,45
1813,45
1814,49
1815,48
1816,47
1817,47
1818,46
1819,45
1820,44
1821,43
1822,35
1823,33
1824,32
1825,31
1826,31
1827,32
1828,32
1829,32
1830,31
1831,31
1832,31
1833,31
1834,31
1835,31
1836,31
1837,31
1838,31
1839,31
1840,32
1841,32
1842,32
1843,32
1844,32
1845,32
1846,32
1847,32
1848,33
1849,33
1850,33
1851,33
1852,33
1853,33
1854,34
1855,34
1856,34
1857,37
1858,37
1859,37
1860,37
1861,38
1862,38
1863,37
1864,37
1865,37
1866,36
1867,36
1868,36
1869,36
1870,36
1871,36
1872,36
1873,36
1874,38
1875,38
1876,38
1877,38
1878,38
1879,39
1880,39
1881,41
1882,43
1883,43
1884,50
1885,57
1886,60
1887,63
1888,68
1889,69
1890,70
1891,72
1892,75
1893,77
1894,79
1895,83
1896,84
1897,84
1898,85
1899,87
1900,86
1901,86
1902,86
1903,88
1904,89
1905,90
1906,92
1907,92
1908,92
1909,92
1910,94
1911,94
1912,96
1913,96
1914,101
1915,98
1916,97
1917,94
1918,94
1919,93
1920,92
1921,87
1922,91
1923,97
1924,97
1925,97
1926,97
1927,97
1928,97
1929,97
1930,97
1931,97
1932,97
1933,96
1934,96
1935,96
1936,95
1937,94
1938,94
1939,94
1940,94
1941,95
1942,94
1943,93
1944,93
1945,93
1946,94
1947,91
1948,88
1949,85
1950,84
1951,84
1952,83
1953,82
1954,81
1955,79
1956,79
1957,76
1958,75
1959,75
1960,75
1961,57
1962,55
1963,48
1964,44
1965,42
1966,40
1967,36
1968,35
1969,31
1970,31
1971,29
1972,26
1973,26
1974,25
1975,22
1976,15
1977,14
1978,13
1979,11
1980,7
1981,4
1982,2
1983,2
1984,1
